data_execucao,metodo,changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,MSE,RMSE,MAE,MAPE,MDAPE,SMAPE,tempo_execucao
2026-07-14 23:08:54,Holdout,0.01,additive,0.1,427421.3784618314,653.7747153735997,565.034099088611,0.1308325547339006,0.12016649396874521,0.3813750794240306,0.33
2026-07-14 23:08:55,Holdout,0.01,additive,1.0,434226.2280598953,658.958441830663,568.0328155668211,0.1301569370736428,0.12072431200782908,0.38129646041454873,0.32
2026-07-14 23:08:55,Holdout,0.01,additive,10.0,423465.5157595583,650.7422805992848,563.719014149401,0.13075695949371277,0.1182329974610829,0.3810732282453883,0.31
2026-07-14 23:08:56,Holdout,0.01,multiplicative,0.1,411887.08267745335,641.7842960664068,530.6045339885517,0.12990796638231433,0.11987949624333702,0.38119703506806063,0.3
2026-07-14 23:08:57,Holdout,0.01,multiplicative,1.0,402406.1955698963,634.3549444671306,530.6662914079666,0.1277910738770467,0.12070737986695496,0.3793087926144647,0.32
2026-07-14 23:08:57,Holdout,0.01,multiplicative,10.0,407733.06495511305,638.5397912073397,530.5168337441067,0.12650055289103512,0.1194555171050235,0.3788147447839349,0.29
2026-07-14 23:08:58,Holdout,0.1,additive,0.1,412127.3512372835,641.9714567153928,557.1500006695672,0.13248621457984167,0.11207113236774932,0.3812844891204227,0.34
2026-07-14 23:08:58,Holdout,0.1,additive,1.0,413445.8916001629,642.9975828882741,558.5048243317171,0.13260637219043028,0.11244656742227527,0.3813840858062211,0.34
2026-07-14 23:08:59,Holdout,0.1,additive,10.0,412853.11838001315,642.5364724122772,558.1343630728182,0.13263276956811054,0.11235875942063164,0.3813535867519043,0.34
2026-07-14 23:09:00,Holdout,0.1,multiplicative,0.1,418252.0522474303,646.7240928304977,528.8546895629023,0.13014068242614793,0.11953063037063452,0.38178104776507155,0.32
2026-07-14 23:09:00,Holdout,0.1,multiplicative,1.0,424037.3044291614,651.1814681247935,533.0251363959385,0.12904429703950146,0.1207885449383882,0.38139379568324305,0.33
2026-07-14 23:09:01,Holdout,0.1,multiplicative,10.0,417764.24663077143,646.3468470030402,532.9700360053129,0.12953244353365567,0.11965722619186112,0.38130356817754013,0.37
2026-07-14 23:09:01,Holdout,0.5,additive,0.1,418842.97901111806,647.1807931413896,561.08181726062,0.1315921443265034,0.11373470570798347,0.3812905311818282,0.33
2026-07-14 23:09:02,Holdout,0.5,additive,1.0,421885.052283381,649.5267910435881,563.1818853947404,0.13133137693025107,0.11575990697092972,0.38129461334544446,0.45
2026-07-14 23:09:03,Holdout,0.5,additive,10.0,419823.875602031,647.9381726692995,562.1833903143213,0.13159109893840507,0.1139799252081958,0.38130669240479276,0.43
2026-07-14 23:09:04,Holdout,0.5,multiplicative,0.1,441946.7289616069,664.7907407309513,524.6682554715536,0.1274424816949194,0.12142671257583165,0.38135837832909264,0.43
2026-07-14 23:09:04,Holdout,0.5,multiplicative,1.0,442863.87849296926,665.4801864014955,518.4319425501928,0.12675788953426742,0.12091655858917702,0.3810399527530345,0.43
2026-07-14 23:09:05,Holdout,0.5,multiplicative,10.0,444041.5171002306,666.364402635848,518.1986571149384,0.12657137028895493,0.12136674730470415,0.38096817794537674,0.44
2026-07-14 23:22:59,Holdout,0.01,additive,0.1,427421.3784618314,653.7747153735997,565.034099088611,0.1308325547339006,0.12016649396874521,0.3813750794240306,0.45
2026-07-14 23:22:59,Holdout,0.01,additive,1.0,434226.2280598953,658.958441830663,568.0328155668211,0.1301569370736428,0.12072431200782908,0.38129646041454873,0.35
2026-07-14 23:23:00,Holdout,0.01,additive,10.0,423465.5157595583,650.7422805992848,563.719014149401,0.13075695949371277,0.1182329974610829,0.3810732282453883,0.41
2026-07-14 23:23:01,Holdout,0.01,multiplicative,0.1,411887.08267745335,641.7842960664068,530.6045339885517,0.12990796638231433,0.11987949624333702,0.38119703506806063,0.31
2026-07-14 23:23:01,Holdout,0.01,multiplicative,1.0,402406.1955698963,634.3549444671306,530.6662914079666,0.1277910738770467,0.12070737986695496,0.3793087926144647,0.31
2026-07-14 23:23:02,Holdout,0.01,multiplicative,10.0,407733.06495511305,638.5397912073397,530.5168337441067,0.12650055289103512,0.1194555171050235,0.3788147447839349,0.31
2026-07-14 23:23:03,Holdout,0.1,additive,0.1,412127.3512372835,641.9714567153928,557.1500006695672,0.13248621457984167,0.11207113236774932,0.3812844891204227,0.44
2026-07-14 23:23:04,Holdout,0.1,additive,1.0,413445.8916001629,642.9975828882741,558.5048243317171,0.13260637219043028,0.11244656742227527,0.3813840858062211,0.47
2026-07-14 23:23:04,Holdout,0.1,additive,10.0,412853.11838001315,642.5364724122772,558.1343630728182,0.13263276956811054,0.11235875942063164,0.3813535867519043,0.31
2026-07-14 23:23:05,Holdout,0.1,multiplicative,0.1,418252.0522474303,646.7240928304977,528.8546895629023,0.13014068242614793,0.11953063037063452,0.38178104776507155,0.33
2026-07-14 23:23:05,Holdout,0.1,multiplicative,1.0,424037.3044291614,651.1814681247935,533.0251363959385,0.12904429703950146,0.1207885449383882,0.38139379568324305,0.33
2026-07-14 23:23:06,Holdout,0.1,multiplicative,10.0,417764.24663077143,646.3468470030402,532.9700360053129,0.12953244353365567,0.11965722619186112,0.38130356817754013,0.37
2026-07-14 23:23:07,Holdout,0.5,additive,0.1,418842.97901111806,647.1807931413896,561.08181726062,0.1315921443265034,0.11373470570798347,0.3812905311818282,0.35
2026-07-14 23:23:08,Holdout,0.5,additive,1.0,421885.052283381,649.5267910435881,563.1818853947404,0.13133137693025107,0.11575990697092972,0.38129461334544446,0.46
2026-07-14 23:23:08,Holdout,0.5,additive,10.0,419823.875602031,647.9381726692995,562.1833903143213,0.13159109893840507,0.1139799252081958,0.38130669240479276,0.47
2026-07-14 23:23:09,Holdout,0.5,multiplicative,0.1,441946.7289616069,664.7907407309513,524.6682554715536,0.1274424816949194,0.12142671257583165,0.38135837832909264,0.42
2026-07-14 23:23:10,Holdout,0.5,multiplicative,1.0,442863.87849296926,665.4801864014955,518.4319425501928,0.12675788953426742,0.12091655858917702,0.3810399527530345,0.44
2026-07-14 23:23:11,Holdout,0.5,multiplicative,10.0,444041.5171002306,666.364402635848,518.1986571149384,0.12657137028895493,0.12136674730470415,0.38096817794537674,0.58
2026-07-14 23:25:02,Holdout,0.01,additive,0.1,427421.3784618314,653.7747153735997,565.034099088611,0.1308325547339006,0.12016649396874521,0.3813750794240306,0.34
2026-07-14 23:25:02,Holdout,0.01,additive,1.0,434226.2280598953,658.958441830663,568.0328155668211,0.1301569370736428,0.12072431200782908,0.38129646041454873,0.29
2026-07-14 23:25:03,Holdout,0.01,additive,10.0,423465.5157595583,650.7422805992848,563.719014149401,0.13075695949371277,0.1182329974610829,0.3810732282453883,0.3
2026-07-14 23:25:03,Holdout,0.01,multiplicative,0.1,411887.08267745335,641.7842960664068,530.6045339885517,0.12990796638231433,0.11987949624333702,0.38119703506806063,0.27
2026-07-14 23:25:04,Holdout,0.01,multiplicative,1.0,402406.1955698963,634.3549444671306,530.6662914079666,0.1277910738770467,0.12070737986695496,0.3793087926144647,0.29
2026-07-14 23:25:05,Holdout,0.01,multiplicative,10.0,407733.06495511305,638.5397912073397,530.5168337441067,0.12650055289103512,0.1194555171050235,0.3788147447839349,0.3
2026-07-14 23:25:05,Holdout,0.1,additive,0.1,412127.3512372835,641.9714567153928,557.1500006695672,0.13248621457984167,0.11207113236774932,0.3812844891204227,0.34
2026-07-14 23:25:06,Holdout,0.1,additive,1.0,413445.8916001629,642.9975828882741,558.5048243317171,0.13260637219043028,0.11244656742227527,0.3813840858062211,0.34
2026-07-14 23:25:06,Holdout,0.1,additive,10.0,412853.11838001315,642.5364724122772,558.1343630728182,0.13263276956811054,0.11235875942063164,0.3813535867519043,0.34
2026-07-14 23:25:07,Holdout,0.1,multiplicative,0.1,418252.0522474303,646.7240928304977,528.8546895629023,0.13014068242614793,0.11953063037063452,0.38178104776507155,0.43
2026-07-14 23:25:08,Holdout,0.1,multiplicative,1.0,424037.3044291614,651.1814681247935,533.0251363959385,0.12904429703950146,0.1207885449383882,0.38139379568324305,0.32
2026-07-14 23:25:08,Holdout,0.1,multiplicative,10.0,417764.24663077143,646.3468470030402,532.9700360053129,0.12953244353365567,0.11965722619186112,0.38130356817754013,0.33
2026-07-14 23:25:09,Holdout,0.5,additive,0.1,418842.97901111806,647.1807931413896,561.08181726062,0.1315921443265034,0.11373470570798347,0.3812905311818282,0.35
2026-07-14 23:25:10,Holdout,0.5,additive,1.0,421885.052283381,649.5267910435881,563.1818853947404,0.13133137693025107,0.11575990697092972,0.38129461334544446,0.44
2026-07-14 23:25:10,Holdout,0.5,additive,10.0,419823.875602031,647.9381726692995,562.1833903143213,0.13159109893840507,0.1139799252081958,0.38130669240479276,0.48
2026-07-14 23:25:11,Holdout,0.5,multiplicative,0.1,441946.7289616069,664.7907407309513,524.6682554715536,0.1274424816949194,0.12142671257583165,0.38135837832909264,0.41
2026-07-14 23:25:12,Holdout,0.5,multiplicative,1.0,442863.87849296926,665.4801864014955,518.4319425501928,0.12675788953426742,0.12091655858917702,0.3810399527530345,0.69
2026-07-14 23:25:13,Holdout,0.5,multiplicative,10.0,444041.5171002306,666.364402635848,518.1986571149384,0.12657137028895493,0.12136674730470415,0.38096817794537674,0.43
